queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_question_mark_flag,TXT_special_char_count,TXT_text_density,LING_query_type,LING_tense,LING_has_modality,LING_has_negation,LING_has_conditional,LING_clause_complexity,LING_verb_count,LING_noun_count,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_location_count,SEM_entity_finance_count,SEM_entity_media_count,SEM_entity_health_count,SEM_entity_count_total,SEM_abstractness_score,SEM_specificity_score,SEM_ambiguity_score,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_modality_types,TASK_external_dependency,TASK_expected_result_count,TASK_personalization_level,TASK_steps_implicit,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_historical_vs_realtime,TEMP_location_context_required,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority_indicator,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations_needed,COMP_reasoning_depth
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,22,18,5,3.6,1,0,0,0,5,imperative,past,0,0,0,2,1,3,0.33,personal_photos,sports,0,1,0,0,1,1,3,2,6,3,1,1,0,0,3,1,2,2,2,relative,1,2,historical,0,2,2,2,neutral,3,6,2,6,4,3,1,2.0,
지난주에 찍은 헬스 자세 영상 보여줘,18.18,23,19,5,3.8,1,0,0,0,5,imperative,past,0,0,0,2,1,3,0.33,personal_photos,health,0,1,0,0,1,1,3,2,6,3,1,1,0,0,3,1,2,2,2,relative,1,2,historical,0,3,3,2,neutral,3,6,2,6,4,3,1,2.0,
지난주에 찍은 요가 동작 영상 보여줘,26.8976,23,19,5,3.8,1,0,0,0,5,imperative,past,0,0,0,2,1,3,0.33,personal_photos,health,0,1,0,0,1,1,3,2,6,3,1,1,0,0,3,1,2,2,2,relative,1,2,historical,0,3,3,2,neutral,3,6,2,6,4,3,1,2.0,
지난주에 찍은 등산 영상 보여줘,7.4636,20,16,5,3.2,1,0,0,0,5,imperative,past,0,0,0,2,1,2,0.5,personal_photos,travel,0,1,0,0,1,0,2,2,5,2,1,1,0,0,3,1,2,2,2,relative,1,2,historical,0,2,2,2,neutral,3,5,2,5,3,2,1,2.0,
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,24,20,6,3.33,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,finance,personal_photos,0,1,0,1,0,0,3,2,7,3,1,1,0,0,2,1,1,3,2,relative,1,2,historical,0,4,4,3,anxious,4,7,9,5,3,3,2,2.0,
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,24,20,6,3.33,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,finance,personal_photos,0,1,0,1,0,0,3,2,7,3,1,1,0,0,2,1,1,3,2,relative,1,2,historical,0,4,4,3,anxious,4,7,9,5,3,3,2,2.0,
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,25,21,6,3.5,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,finance,personal_photos,0,1,0,1,0,0,3,2,8,3,1,1,0,0,2,1,1,3,2,relative,1,2,historical,0,5,5,3,anxious,5,7,10,5,3,3,2,2.0,
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,22,18,6,3.0,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,finance,personal_photos,0,1,0,1,0,0,3,2,8,3,1,1,0,0,2,1,1,3,2,relative,1,2,historical,0,5,5,3,anxious,5,7,10,5,3,3,2,2.0,
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,34,30,8,3.75,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,media,personal,1,1,0,0,1,0,3,3,7,4,1,1,0,0,3,2,1,2,2,relative,1,2,historical,0,2,1,2,curious,4,7,7,4,3,3,2,3.0,
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,33,29,8,3.62,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,media,personal,1,1,0,0,1,0,3,3,7,4,1,1,0,0,1,2,1,2,2,relative,1,2,historical,0,2,1,2,curious,4,7,7,4,2,2,1,3.0,
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,35,31,8,3.87,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,media,personal,1,1,0,0,1,0,3,3,7,4,1,1,0,0,1,2,1,2,2,relative,1,2,historical,0,2,1,2,curious,4,7,7,4,2,2,1,3.0,
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,35,31,8,3.87,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,media,personal,1,1,0,0,1,0,3,3,7,4,1,1,0,0,1,2,1,2,2,relative,1,2,historical,0,2,1,2,curious,4,7,7,4,2,2,1,3.0,
지민이 결혼식 일정 알려줘,11.6698,16,13,4,3.25,1,0,0,0,4,imperative,future,0,0,0,1,1,2,0.5,events,schedule,1,0,0,0,0,0,1,2,7,3,1,0,0,0,1,0,1,2,1,none,0,0,future,0,4,4,3,anxious,5,4,9,3,2,2,1,2.0,
지민이 졸업식 일정 알려줘,15.3752,16,13,4,3.25,1,0,0,0,4,imperative,future,0,0,0,1,1,2,0.5,events,schedule,1,0,0,0,0,0,1,2,7,3,1,0,0,0,1,0,1,2,1,none,0,0,future,0,3,3,2,neutral,4,3,8,3,2,2,1,2.0,
지민이 돌잔치 일정 알려줘,15.7295,17,14,4,3.5,1,0,0,0,4,imperative,future,0,0,0,1,1,2,0.5,events,schedule,1,0,0,0,0,0,1,2,7,3,1,0,0,0,1,0,1,2,1,none,0,0,future,0,3,3,2,neutral,4,3,8,3,2,2,1,2.0,
지민이 생일 알려줘,12.1895,11,9,3,3.0,1,0,0,0,3,imperative,future,0,0,0,1,1,1,1.0,events,schedule,1,0,0,0,0,0,1,2,6,3,1,0,0,0,1,0,1,2,1,none,0,0,future,0,3,3,2,neutral,3,2,7,2,1,1,1,2.0,
사려고 찍어둔 와인 사진 다 보여줘,26.8335,22,18,6,3.0,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,shopping,personal_photos,0,0,0,0,0,0,2,2,5,3,1,1,0,0,2,1,3,2,2,none,0,0,historical,0,2,2,2,neutral,4,5,6,8,3,2,1,2.0,
사려고 찍어둔 신발 사진 다 보여줘,24.4891,23,19,6,3.17,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,shopping,personal_photos,0,0,0,0,0,0,2,2,5,3,1,1,0,0,2,1,3,2,2,none,0,0,historical,0,2,2,2,neutral,4,5,6,8,3,2,1,2.0,
사려고 찍어둔 옷 사진 다 보여줘,31.3977,21,17,6,2.83,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,shopping,personal_photos,0,0,0,0,0,0,2,2,5,3,1,1,0,0,2,1,3,2,2,none,0,0,historical,0,2,2,2,neutral,4,5,6,8,3,2,1,2.0,
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,24,20,6,3.33,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,shopping,personal_photos,0,0,0,0,0,0,2,2,5,3,1,1,0,0,2,1,3,2,2,none,0,0,historical,0,2,2,2,neutral,4,5,6,8,3,2,1,2.0,
지난주 작성한 강의 필기 찾아줘,26.106,18,15,4,3.75,1,0,0,0,4,imperative,past,0,0,0,2,1,2,0.5,notes,education,0,1,0,0,0,0,2,2,7,3,1,1,0,0,1,0,1,2,2,relative,1,2,historical,0,3,3,2,neutral,4,4,7,5,2,2,1,2.0,
지난주 작성한 노트 찾아줘,24.2368,16,13,4,3.25,1,0,0,0,4,imperative,past,0,0,0,2,1,2,0.5,notes,none,0,1,0,0,0,0,1,2,6,3,1,1,0,0,1,0,1,2,2,relative,1,2,historical,0,3,3,2,neutral,3,3,7,4,2,2,1,2.0,
지난 주에 찍어둔 강의 영상 찾아줘,20.803,22,18,6,3.0,1,0,0,0,6,imperative,past,0,0,0,2,1,3,0.33,education,personal_photos,0,1,0,0,1,0,2,2,6,3,1,1,0,0,3,1,1,2,2,relative,1,2,historical,0,3,3,2,neutral,4,4,7,4,3,2,1,2.0,
지난주 작성한 메모 찾아줘,11.5135,16,13,4,3.25,1,0,0,0,4,imperative,past,0,0,0,2,1,2,0.5,notes,none,0,1,0,0,0,0,1,2,6,3,1,1,0,0,1,0,1,2,2,relative,1,2,historical,0,3,3,2,neutral,3,3,7,4,2,2,1,2.0,
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496,27,23,7,3.29,1,0,0,0,7,imperative,past,0,0,0,2,1,4,0.25,personal_photos,travel,0,1,1,0,0,0,3,2,5,3,1,1,0,0,2,1,2,2,2,relative,1,2,historical,1,2,2,2,nostalgic,4,5,6,6,3,2,1,2.0,
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941,26,22,7,3.14,1,0,0,0,7,imperative,past,0,0,0,2,1,4,0.25,personal_photos,travel,0,1,1,0,0,0,3,2,5,3,1,1,0,0,2,1,2,2,2,relative,1,2,historical,1,2,2,2,nostalgic,4,5,6,6,3,2,1,2.0,
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216,26,22,7,3.14,1,0,0,0,7,imperative,past,0,0,0,2,1,4,0.25,personal_photos,travel,0,1,1,0,0,0,3,2,5,3,1,1,0,0,2,1,2,2,2,relative,1,2,historical,1,2,2,2,nostalgic,4,5,6,6,3,2,1,2.0,
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384,29,25,7,3.57,1,0,0,0,7,imperative,past,0,0,0,2,1,4,0.25,personal_photos,travel,0,1,1,0,0,0,3,2,5,3,1,1,0,0,2,1,2,2,2,relative,1,2,historical,1,2,2,2,nostalgic,4,5,6,6,3,2,1,2.0,
내 여권 사진 찾아줘,18.3003,13,11,3,3.67,1,0,0,0,3,imperative,past,0,0,0,1,1,2,0.5,personal_photos,identity,0,0,0,0,0,0,1,2,8,3,1,0,0,0,2,0,1,3,1,none,0,0,historical,0,4,5,3,anxious,4,3,9,3,2,2,1,2.0,
주말에 찍은 반려동물 사진 찾아줘,13.2361,22,18,5,3.6,1,0,0,0,5,imperative,past,0,0,0,2,1,3,0.33,personal_photos,none,0,1,0,0,0,0,2,2,5,3,1,1,0,0,2,0,2,2,2,relative,1,2,historical,0,2,1,2,nostalgic,3,4,6,5,3,2,1,2.0,
가족이랑 찍은 사진 찾아줘,26.9289,17,14,4,3.5,1,0,0,0,4,imperative,past,0,0,0,2,1,2,0.5,personal_photos,none,0,0,0,0,0,0,1,2,4,3,1,0,0,0,2,0,2,2,2,none,0,0,historical,0,2,2,2,nostalgic,3,3,6,5,3,2,1,2.0,
친구들과 함께 찍은 사진 찾아줘,26.0997,19,16,4,4.0,1,0,0,0,4,imperative,past,0,0,0,2,1,2,0.5,personal_photos,none,0,0,0,0,0,0,1,2,4,3,1,0,0,0,2,0,2,2,2,none,0,0,historical,0,2,2,2,nostalgic,3,3,6,5,3,2,1,2.0,
봄에 갔던 골프장 어디였지?,20.9377,18,15,4,3.75,1,1,1,0,4,interrogative,past,0,0,0,2,1,2,0.5,travel,sports,0,1,1,0,0,0,2,3,6,4,1,1,0,0,1,0,1,2,2,relative,1,2,historical,1,2,2,2,curious,4,4,7,4,2,2,1,3.0,
여름에 갔던 산 어디였지?,13.8776,17,14,4,3.5,1,1,1,0,4,interrogative,past,0,0,0,2,1,2,0.5,travel,none,0,1,1,0,0,0,2,3,5,4,1,1,0,0,1,0,1,2,2,relative,1,2,historical,1,2,2,2,curious,3,3,6,4,2,2,1,3.0,
주말에 갔던 라이딩 코스 어디였지?,18.0121,22,18,5,3.6,1,1,1,0,5,interrogative,past,0,0,0,2,1,3,0.33,travel,sports,0,1,1,0,0,0,2,3,6,4,1,1,0,0,1,0,1,2,2,relative,1,2,historical,1,2,2,2,curious,4,4,7,4,2,2,1,3.0,
가을에 갔던 공원 어디였지?,25.1263,18,15,4,3.75,1,1,1,0,4,interrogative,past,0,0,0,2,1,2,0.5,travel,none,0,1,1,0,0,0,2,3,5,4,1,1,0,0,1,0,1,2,2,relative,1,2,historical,1,2,2,2,curious,3,3,6,4,2,2,1,3.0,
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784,27,23,7,3.29,1,1,1,0,7,interrogative,past,0,0,0,2,1,4,0.25,finance,none,0,1,0,1,0,0,3,2,9,4,1,1,0,0,1,1,1,3,2,absolute,2,2,historical,0,5,5,3,anxious,6,6,10,5,3,3,2,3.0,
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792,27,23,7,3.29,1,1,1,0,7,interrogative,past,0,0,0,2,1,4,0.25,finance,none,0,1,0,1,0,0,3,2,9,4,1,1,0,0,1,1,1,3,2,absolute,2,2,historical,0,5,5,3,anxious,6,6,10,5,3,3,2,3.0,
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943,31,27,8,3.38,1,1,1,0,8,interrogative,past,0,0,0,2,1,5,0.2,finance,none,0,1,0,1,0,0,3,2,9,4,1,1,0,0,1,1,1,3,2,absolute,2,2,historical,0,5,5,3,anxious,6,6,10,5,3,3,2,3.0,
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919,27,23,7,3.29,1,1,1,0,7,interrogative,past,0,0,0,2,1,4,0.25,finance,none,0,1,0,1,0,0,3,2,9,4,1,1,0,0,1,1,1,3,2,absolute,2,2,historical,0,5,5,3,anxious,6,6,10,5,3,3,2,3.0,
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563,30,26,8,3.25,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,music,none,0,1,0,0,1,0,2,2,7,4,1,1,0,0,1,1,1,2,2,relative,2,2,historical,0,3,2,2,curious,5,5,8,4,3,3,1,3.0,
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793,32,28,8,3.5,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,music,none,0,1,0,0,1,0,2,2,8,4,1,1,0,0,1,1,1,2,2,relative,2,2,historical,0,3,2,2,curious,5,5,8,4,3,3,1,3.0,
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305,32,28,8,3.5,1,1,1,0,8,interrogative,past,0,0,0,2,1,4,0.25,music,none,0,1,0,0,1,0,2,2,8,4,1,1,0,0,1,1,1,2,2,relative,2,2,historical,0,3,2,2,curious,5,5,8,4,3,3,1,3.0,
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753,35,31,9,3.44,1,1,1,0,9,interrogative,past,0,0,0,2,1,5,0.2,music,health,0,1,0,0,1,0,2,2,8,4,1,1,0,0,1,1,1,2,2,relative,2,2,historical,0,3,2,2,curious,5,5,8,4,3,3,1,3.0,
내일 지원이랑 어디서 만나기로 했지?,15.6107,23,19,6,3.17,1,1,1,0,6,interrogative,future,0,0,0,2,1,3,0.33,schedule,personal,1,0,0,0,0,0,1,2,8,4,1,0,0,0,1,0,1,3,2,relative,2,3,future,0,5,4,3,anxious,6,4,9,3,2,2,1,3.0,
내일 지원이랑 언제 만나기로 했지?,11.9332,23,19,6,3.17,1,1,1,0,6,interrogative,future,0,0,0,2,1,3,0.33,schedule,personal,1,0,0,0,0,0,1,2,8,4,1,0,0,0,1,0,1,3,2,relative,2,3,future,0,5,4,3,anxious,6,4,9,3,2,2,1,3.0,
내일 지원이랑 몇 시에 만나기로 했지?,16.2685,25,21,7,3.0,1,1,1,0,7,interrogative,future,0,0,0,2,1,4,0.25,schedule,personal,1,0,0,0,0,0,1,2,9,4,1,0,0,0,1,0,1,3,2,relative,3,3,future,0,5,4,3,anxious,7,4,9,3,2,2,1,3.0,
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54,27,23,7,3.29,1,1,1,0,7,interrogative,future,0,0,0,2,1,4,0.25,schedule,personal,1,0,0,0,0,0,1,2,8,4,1,0,0,0,1,0,1,3,2,relative,2,3,future,0,5,4,3,anxious,6,4,9,3,2,2,1,3.0,
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216,32,28,8,3.5,1,1,1,0,8,interrogative,past,0,0,0,2,1,5,0.2,shopping,online,0,1,0,0,0,0,2,2,8,4,1,1,0,0,1,1,1,2,2,relative,1,1,historical,0,3,3,2,curious,5,4,8,4,3,3,1,3.0,
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528,31,27,8,3.38,1,1,1,0,8,interrogative,past,0,0,0,2,1,5,0.2,shopping,online,0,1,0,0,0,0,2,2,8,4,1,1,0,0,1,1,1,2,2,relative,1,1,historical,0,3,3,2,curious,5,4,8,4,3,3,1,3.0,
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779,33,29,8,3.62,1,1,1,1,8,interrogative,past,0,0,0,2,2,4,0.5,shopping,personal_memory,0,1,1,0,0,0,2,4,8,3,2,1,0,0,2,1,1,3,2,relative,2,1,historical,1,2,2,2,neutral,3,6,3,8,3,3,2,2.0,
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546,32,28,8,3.5,1,1,1,1,8,interrogative,past,0,0,0,2,2,4,0.5,shopping,personal_memory,0,1,1,0,0,0,2,4,8,3,2,1,0,0,2,1,1,3,2,relative,2,1,historical,1,2,2,2,neutral,3,6,3,8,3,3,2,2.0,
오늘 미팅 장소와 시간은 어디지?,14.0835,20,17,6,2.83,1,1,1,1,6,interrogative,present,0,0,0,2,1,3,0.33,schedule,none,0,1,1,0,0,0,2,3,9,2,2,1,0,0,2,1,1,2,2,relative,1,3,realtime,1,4,4,3,neutral,4,6,3,6,2,2,1,2.0,
오늘 약속 장소와 시간은 어디지?,6.7843,20,17,6,2.83,1,1,1,1,6,interrogative,present,0,0,0,2,1,3,0.33,schedule,none,0,1,1,0,0,0,2,3,9,2,2,1,0,0,2,1,1,2,2,relative,1,3,realtime,1,5,4,3,neutral,5,6,3,6,2,2,1,2.0,
오늘 세미나 장소와 시간은 어디지?,20.0484,21,18,6,3.0,1,1,1,1,6,interrogative,present,0,0,0,2,1,3,0.33,schedule,work,0,1,1,0,0,0,2,3,9,2,2,1,0,0,2,1,1,2,2,relative,1,3,realtime,1,4,4,3,neutral,4,6,3,6,2,2,1,2.0,
오늘 회의 장소와 시간은 어디지?,11.4985,21,18,6,3.0,1,1,1,1,6,interrogative,present,0,0,0,2,1,3,0.33,schedule,work,0,1,1,0,0,0,2,3,9,2,2,1,0,0,2,1,1,2,2,relative,1,3,realtime,1,5,4,3,neutral,5,6,3,6,2,2,1,2.0,
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869,26,23,7,3.29,1,1,1,1,7,interrogative,past,0,0,0,2,1,3,0.33,personal_memory,events,2,1,1,0,0,0,4,3,9,3,2,1,0,0,2,1,1,3,2,relative,2,1,historical,1,2,3,2,reflective,3,6,4,5,2,2,1,2.0,
뉴욕 여행 때 갔던 브런치 집 어디였지?,15.9983,24,21,7,3.0,1,1,1,1,7,interrogative,past,0,0,0,2,1,3,0.33,personal_memory,travel,0,1,1,0,0,0,2,3,9,3,2,1,0,0,2,1,1,3,2,relative,2,1,historical,1,2,2,2,reflective,3,6,4,5,2,2,1,2.0,
부모님 생신 때 갔던 호텔 어디였지?,14.627,23,20,7,2.86,1,1,1,1,7,interrogative,past,0,0,0,2,1,3,0.33,personal_memory,events,2,1,1,0,0,0,4,3,9,3,2,1,0,0,2,1,1,3,2,relative,2,1,historical,1,2,3,2,reflective,3,6,4,5,2,2,1,2.0,
