queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_special_char_count,TXT_text_density,LING_query_type,LING_tense,LING_has_modality,LING_has_negation,LING_has_conditional,LING_clause_complexity,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_object_count,SEM_abstractness_score,SEM_specificity_score,SEM_ambiguity_score,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_modality_types,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,TEMP_location_context_need,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority_indicator,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations,COMP_reasoning_depth
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,20,17,5,3.4,1,0,0,5.0,imperative,past,0,0,0,2,0.8,personal_media,none,0,1,1,2,7,2,2,1,0,0,video,2,many,relative,2,3,0,0,2,2,2,neutral,3,6,2,7,5,2,1,1.0,
지난주에 찍은 헬스 자세 영상 보여줘,18.18,21,18,5,3.6,1,0,0,5.0,imperative,past,0,0,0,2,0.8,personal_media,none,0,1,1,2,7,2,2,1,0,0,video,2,many,relative,2,3,0,0,2,2,2,neutral,3,6,2,7,5,2,1,1.0,
지난주에 찍은 요가 동작 영상 보여줘,26.8976,21,18,5,3.6,1,0,0,5.0,imperative,past,0,0,0,2,0.8,personal_media,none,0,1,1,2,7,2,2,1,0,0,video,2,many,relative,2,3,0,0,2,2,2,neutral,3,6,2,7,5,2,1,1.0,
지난주에 찍은 등산 영상 보여줘,7.4636,18,15,4,3.75,1,0,0,4.0,imperative,past,0,0,0,2,0.8,personal_media,none,0,1,1,2,6,2,2,1,0,0,video,2,many,relative,2,3,0,0,2,2,2,neutral,3,5,2,7,5,2,1,1.0,
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.7,finance,personal_media,0,1,1,2,9,2,2,1,0,0,image,2,single,relative,2,3,0,0,3,4,4,neutral,4,7,3,8,2,3,2,2.0,
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.7,finance,personal_media,0,1,1,2,9,2,2,1,0,0,image,2,single,relative,2,3,0,0,3,4,4,neutral,4,7,3,8,2,3,2,2.0,
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,23,20,6,3.33,1,0,0,6.0,imperative,past,0,0,0,2,0.7,finance,personal_media,0,1,1,2,9,2,2,1,0,0,image,2,single,relative,2,3,0,0,4,5,4,neutral,5,8,4,8,2,3,2,2.0,
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,21,18,6,3.0,1,0,0,6.0,imperative,past,0,0,0,2,0.7,finance,personal_media,0,1,1,2,9,2,2,1,0,0,image,2,single,relative,2,3,0,0,4,5,4,neutral,5,8,4,8,2,3,2,2.0,
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,36,32,9,3.56,1,1,0,9.0,interrogative,past,1,0,0,2,0.8,media,memory_recall,1,1,1,3,8,3,2,1,0,0,video,2,single,relative,2,2,0,0,2,2,2,curious,4,8,3,7,3,2,1,2.0,
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,34,30,8,3.75,1,1,0,8.0,interrogative,past,1,0,0,2,0.8,media,memory_recall,1,1,1,3,8,3,2,1,0,0,video,2,single,relative,2,2,0,0,2,2,2,curious,4,8,3,7,3,2,1,2.0,
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,36,32,8,4.0,1,1,0,8.0,interrogative,past,1,0,0,2,0.8,media,memory_recall,1,1,1,3,8,3,2,1,0,0,video,2,single,relative,2,2,0,0,2,2,2,curious,4,8,3,7,3,2,1,2.0,
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,36,32,8,4.0,1,1,0,8.0,interrogative,past,1,0,0,2,0.8,media,memory_recall,1,1,1,3,8,3,2,1,0,0,video,2,single,relative,2,2,0,0,2,2,2,curious,4,8,3,7,3,2,1,2.0,
지민이 결혼식 일정 알려줘,11.6698,15,13,4,3.25,1,0,0,4.0,imperative,future,0,0,0,1,0.7,events,social,1,0,1,3,8,2,1,0,0,0,text_note,2,single,none,0,0,0,0,3,4,4,neutral,5,7,4,5,1,1,0,1.0,
지민이 졸업식 일정 알려줘,15.3752,15,13,4,3.25,1,0,0,4.0,imperative,future,0,0,0,1,0.7,events,social,1,0,1,3,8,2,1,0,0,0,text_note,2,single,none,0,0,0,0,3,4,4,neutral,5,7,4,5,1,1,0,1.0,
지민이 돌잔치 일정 알려줘,15.7295,15,13,4,3.25,1,0,0,4.0,imperative,future,0,0,0,1,0.7,events,social,1,0,1,3,8,2,1,0,0,0,text_note,2,single,none,0,0,0,0,3,4,4,neutral,5,7,4,5,1,1,0,1.0,
지민이 생일 알려줘,12.1895,11,9,3,3.0,1,0,0,3.0,imperative,future,0,0,0,1,0.7,events,social,1,0,1,3,7,2,1,0,0,0,text_note,2,single,none,0,0,0,0,3,4,4,neutral,4,6,4,4,1,1,0,1.0,
사려고 찍어둔 와인 사진 다 보여줘,26.8335,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.8,shopping,personal_media,0,0,1,2,7,2,2,1,1,0,image,2,many,none,0,0,0,0,2,2,2,neutral,4,6,3,8,3,2,1,1.0,
사려고 찍어둔 신발 사진 다 보여줘,24.4891,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.8,shopping,personal_media,0,0,1,2,7,2,2,1,1,0,image,2,many,none,0,0,0,0,2,2,2,neutral,4,6,3,8,3,2,1,1.0,
사려고 찍어둔 옷 사진 다 보여줘,31.3977,20,17,5,3.4,1,0,0,5.0,imperative,past,0,0,0,2,0.8,shopping,personal_media,0,0,1,2,7,2,2,1,1,0,image,2,many,none,0,0,0,0,2,2,2,neutral,4,6,3,8,3,2,1,1.0,
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,24,21,6,3.5,1,0,0,6.0,imperative,past,0,0,0,2,0.8,shopping,personal_media,0,0,1,2,7,2,2,1,1,0,image,2,many,none,0,0,0,0,2,2,2,neutral,4,6,3,8,3,2,1,1.0,
지난주 작성한 강의 필기 찾아줘,26.106,18,15,5,3.0,1,0,0,5.0,imperative,past,0,0,0,2,0.8,personal_notes,education,0,1,1,2,8,2,2,1,0,0,text_note,2,single,relative,2,3,0,0,2,2,3,neutral,4,7,4,6,2,2,1,2.0,
지난주 작성한 노트 찾아줘,24.2368,15,12,4,3.0,1,0,0,4.0,imperative,past,0,0,0,2,0.8,personal_notes,education,0,1,1,2,7,2,2,1,0,0,text_note,2,single,relative,2,3,0,0,2,2,3,neutral,4,6,4,5,2,2,1,2.0,
지난 주에 찍어둔 강의 영상 찾아줘,20.803,22,19,6,3.17,1,0,0,6.0,imperative,past,0,0,0,2,0.8,education,personal_media,0,1,1,2,8,2,2,1,0,0,video,2,single,relative,2,3,0,0,2,2,3,neutral,4,7,4,6,2,2,1,2.0,
지난주 작성한 메모 찾아줘,11.5135,15,12,4,3.0,1,0,0,4.0,imperative,past,0,0,0,2,0.8,personal_notes,none,0,1,1,2,7,2,2,1,0,0,text_note,2,single,relative,2,3,0,0,2,2,3,neutral,3,5,4,4,2,2,1,2.0,
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496,27,23,7,3.29,1,0,0,7.0,imperative,past,0,0,0,2,0.8,personal_media,travel,0,1,1,2,7,3,2,1,0,0,image,2,many,relative,2,2,0,0,2,2,2,neutral,4,6,3,7,3,2,1,2.0,
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941,27,23,7,3.29,1,0,0,7.0,imperative,past,0,0,0,2,0.8,personal_media,travel,0,1,1,2,7,3,2,1,0,0,image,2,many,relative,2,2,0,0,2,2,2,neutral,4,6,3,7,3,2,1,2.0,
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216,27,23,7,3.29,1,0,0,7.0,imperative,past,0,0,0,2,0.8,personal_media,travel,0,1,1,2,7,3,2,1,0,0,image,2,many,relative,2,2,0,0,2,2,2,neutral,4,6,3,7,3,2,1,2.0,
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384,29,25,7,3.57,1,0,0,7.0,imperative,past,0,0,0,2,0.8,personal_media,travel,0,1,1,2,7,3,2,1,0,0,image,2,many,relative,2,2,0,0,2,2,2,neutral,4,6,3,7,3,2,1,2.0,
내 여권 사진 찾아줘,18.3003,11,9,3,3.0,1,0,0,3.0,imperative,past,0,0,0,1,0.7,identity,personal_media,0,0,1,2,9,2,1,0,0,0,image,2,single,none,0,0,0,0,4,5,4,neutral,5,7,5,4,1,1,0,1.0,
주말에 찍은 반려동물 사진 찾아줘,13.2361,21,18,6,3.0,1,0,0,6.0,imperative,past,0,0,0,2,0.8,personal_media,none,0,1,1,2,7,2,2,1,0,0,image,2,many,relative,2,2,0,0,2,2,2,neutral,3,5,3,6,3,2,1,1.0,
가족이랑 찍은 사진 찾아줘,26.9289,16,13,4,3.25,1,0,0,4.0,imperative,past,0,0,0,2,0.8,personal_media,social,0,0,1,2,7,2,2,1,0,0,image,2,many,none,0,0,0,0,2,3,3,neutral,4,5,3,6,3,2,1,1.0,
친구들과 함께 찍은 사진 찾아줘,26.0997,18,15,5,3.0,1,0,0,5.0,imperative,past,0,0,0,2,0.8,personal_media,social,0,0,1,2,7,2,2,1,0,0,image,2,many,none,0,0,0,0,2,3,3,neutral,4,5,3,6,3,2,1,1.0,
봄에 갔던 골프장 어디였지?,20.9377,17,15,5,3.0,1,1,0,5.0,interrogative,past,1,0,0,2,0.8,location,leisure,0,1,1,3,7,3,2,1,0,0,location,2,single,relative,1,1,0,1,3,3,3,curious,4,6,4,4,2,2,1,2.0,
여름에 갔던 산 어디였지?,13.8776,15,13,5,2.6,1,1,0,5.0,interrogative,past,1,0,0,2,0.8,location,leisure,0,1,1,3,7,3,2,1,0,0,location,2,single,relative,1,1,0,1,3,3,3,curious,4,6,4,4,2,2,1,2.0,
주말에 갔던 라이딩 코스 어디였지?,18.0121,21,18,6,3.0,1,1,0,6.0,interrogative,past,1,0,0,2,0.8,location,leisure,0,1,1,3,7,3,2,1,0,0,location,2,single,relative,2,2,0,1,3,3,3,curious,4,6,4,4,2,2,1,2.0,
가을에 갔던 공원 어디였지?,25.1263,17,15,5,3.0,1,1,0,5.0,interrogative,past,1,0,0,2,0.8,location,leisure,0,1,1,3,7,3,2,1,0,0,location,2,single,relative,1,1,0,1,3,3,3,curious,4,6,4,4,2,2,1,2.0,
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784,26,22,8,2.75,1,1,3,8.0,interrogative,past,1,0,0,2,0.8,finance,none,0,1,1,2,9,3,2,1,0,0,transaction,2,single,absolute,3,2,0,0,4,5,5,curious,5,8,5,3,2,3,2,2.0,
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792,26,22,8,2.75,1,1,3,8.0,interrogative,past,1,0,0,2,0.8,finance,location,0,1,1,2,9,3,2,1,0,0,transaction,2,single,absolute,3,2,0,0,4,5,5,curious,5,8,5,3,2,3,2,2.0,
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943,30,26,9,2.89,1,1,3,9.0,interrogative,past,1,0,0,2,0.8,finance,none,0,1,1,2,9,3,2,1,0,0,transaction,2,single,absolute,3,2,0,0,4,5,5,curious,5,8,6,3,2,3,2,2.0,
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919,26,22,8,2.75,1,1,3,8.0,interrogative,past,1,0,0,2,0.8,finance,none,0,1,1,2,9,3,2,1,0,0,transaction,2,single,absolute,3,2,0,0,4,5,5,curious,5,8,5,3,2,3,2,2.0,
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563,29,25,8,3.12,1,1,0,8.0,interrogative,past,1,0,0,2,0.8,music,memory_recall,0,1,1,3,8,3,2,1,0,1,music,2,single,relative,3,3,0,0,3,3,3,curious,5,8,6,4,2,2,1,2.0,
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793,31,27,9,3.0,1,1,0,9.0,interrogative,past,1,0,0,2,0.8,music,memory_recall,0,1,1,3,8,3,2,1,0,1,music,2,single,relative,3,3,0,0,3,3,3,curious,5,8,6,4,2,2,1,2.0,
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305,31,27,9,3.0,1,1,0,9.0,interrogative,past,1,0,0,2,0.8,music,memory_recall,0,1,1,3,8,3,2,1,0,1,music,2,single,relative,3,3,0,0,3,3,3,curious,5,8,6,4,2,2,1,2.0,
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753,33,29,9,3.22,1,1,0,9.0,interrogative,past,1,0,0,2,0.8,music,memory_recall,0,1,1,3,8,3,2,1,0,1,music,2,single,relative,3,3,0,0,3,3,3,curious,5,8,6,4,2,2,1,2.0,
내일 지원이랑 어디서 만나기로 했지?,15.6107,23,20,7,2.86,1,1,0,7.0,interrogative,future,1,0,0,2,0.8,events,social,1,1,1,3,8,2,2,0,0,0,text_note,2,single,relative,3,3,0,0,4,4,4,planning,5,7,5,3,1,1,0,2.0,
내일 지원이랑 언제 만나기로 했지?,11.9332,23,20,7,2.86,1,1,0,7.0,interrogative,future,1,0,0,2,0.8,events,social,1,1,1,3,8,2,2,0,0,0,text_note,2,single,relative,3,3,0,0,4,4,4,planning,5,7,5,3,1,1,0,2.0,
내일 지원이랑 몇 시에 만나기로 했지?,16.2685,25,22,8,2.75,1,1,0,8.0,interrogative,future,1,0,0,2,0.8,events,social,1,1,1,3,9,2,2,0,0,0,text_note,2,single,relative,3,3,0,0,4,4,5,planning,5,8,6,3,1,1,0,2.0,
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54,27,24,8,3.0,1,1,0,8.0,interrogative,future,1,0,0,2,0.8,events,social,1,1,1,3,8,2,2,0,0,0,text_note,2,single,relative,3,3,0,0,4,4,4,planning,5,7,5,3,1,1,0,2.0,
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216,30,26,9,2.89,1,1,0,9.0,interrogative,past,1,0,0,2,0.8,shopping,online,0,1,1,2,8,3,2,1,0,0,transaction,2,single,relative,1,1,0,0,3,3,4,curious,4,7,6,3,2,2,1,2.0,
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528,29,25,9,2.78,1,1,0,9.0,interrogative,past,1,0,0,2,0.8,shopping,online,0,1,1,2,8,3,2,1,0,0,transaction,2,single,relative,1,1,0,0,3,3,4,curious,4,7,6,3,2,2,1,2.0,
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779,34,31,8,3.88,1,1,1,3.88,question,past,0,0,0,2,0.8,shopping,location,0,1,2,3,8,3,1,1,0,0,1,2,1,absolute,2,0,0,1,1,2,2,neutral,3,6,3,8,4,3,2,2.0,
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546,33,30,7,4.29,1,1,1,4.29,question,past,0,0,0,2,0.8,shopping,location,0,1,2,3,8,3,1,1,0,0,1,2,1,absolute,2,0,0,1,1,2,2,neutral,3,6,3,8,4,3,2,2.0,
오늘 미팅 장소와 시간은 어디지?,14.0835,20,18,5,3.6,1,1,1,3.6,question,present,0,0,0,1,0.8,schedule,time_location,0,1,2,3,7,2,1,1,0,0,1,2,1,absolute,3,3,0,1,3,3,3,neutral,4,6,3,7,3,2,1,2.0,
오늘 약속 장소와 시간은 어디지?,6.7843,20,18,5,3.6,1,1,1,3.6,question,present,0,0,0,1,0.8,schedule,time_location,0,1,2,3,7,2,1,1,0,0,1,2,1,absolute,3,3,0,1,3,3,3,neutral,4,6,3,7,3,2,1,2.0,
오늘 세미나 장소와 시간은 어디지?,20.0484,21,19,5,3.8,1,1,1,3.8,question,present,0,0,0,1,0.8,schedule,time_location,0,1,2,3,7,2,1,1,0,0,1,2,1,absolute,3,3,0,1,3,3,3,neutral,4,6,3,7,3,2,1,2.0,
오늘 회의 장소와 시간은 어디지?,11.4985,20,18,5,3.6,1,1,1,3.6,question,present,0,0,0,1,0.8,schedule,time_location,0,1,2,3,7,2,1,1,0,0,1,2,1,absolute,3,3,0,1,3,3,3,neutral,4,6,3,7,3,2,1,2.0,
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869,25,23,6,3.83,1,1,1,3.83,question,past,0,0,0,2,0.8,social,food_dining,0,1,1,3,8,3,1,1,0,0,1,2,1,absolute,2,0,0,1,2,2,2,neutral,4,6,3,7,3,2,1,2.0,
뉴욕 여행 때 갔던 브런치 집 어디였지?,15.9983,23,21,6,3.5,1,1,1,3.5,question,past,0,0,0,2,0.8,leisure_travel,food_dining,0,0,2,3,8,3,1,1,0,0,1,2,1,none,0,0,0,1,2,2,2,neutral,4,6,3,7,3,2,1,2.0,
부모님 생신 때 갔던 호텔 어디였지?,14.627,22,20,6,3.33,1,1,1,3.33,question,past,0,0,0,2,0.8,social,leisure_travel,1,0,1,3,8,3,1,1,0,0,1,2,1,none,0,0,0,1,2,2,2,neutral,4,6,3,7,3,2,1,2.0,
친구 결혼식 때 갔던 식장 어디였지?,21.6479,23,21,6,3.5,1,1,1,3.5,question,past,0,0,0,2,0.8,social,event,1,0,1,3,8,3,1,1,0,0,1,2,1,none,0,0,0,1,3,3,3,neutral,4,6,3,7,3,2,1,2.0,
성훈이랑 최근에 언제 만났더라?,14.5831,21,19,5,3.8,1,1,1,3.8,question,past,0,0,0,1,0.8,social,time,1,1,0,3,7,3,1,1,0,0,1,2,1,relative,3,2,0,0,2,2,2,neutral,4,5,3,6,3,2,1,2.0,
성훈이랑 최근에 어디서 만났더라?,17.0392,22,20,5,4.0,1,1,1,4.0,question,past,0,0,0,1,0.8,social,location,1,1,0,3,7,3,1,1,0,0,1,2,1,relative,3,2,0,1,2,2,2,neutral,4,5,3,6,3,2,1,2.0,
성훈이랑 최근에 몇 시에 만났더라?,18.6927,23,21,6,3.5,1,1,1,3.5,question,past,0,0,0,1,0.8,social,time,1,1,0,3,7,3,1,1,0,0,1,2,1,relative,3,2,0,0,2,2,2,neutral,4,5,3,6,3,2,1,2.0,
성훈이랑 최근에 무엇 때문에 만났더라?,22.4367,25,23,6,3.83,1,1,1,3.83,question,past,0,0,0,1,0.8,social,reason,1,1,0,4,7,4,1,1,0,0,1,2,1,relative,3,2,0,0,2,2,2,neutral,5,5,3,6,3,2,1,2.0,
지난달에 운동 몇 번이나 했지?,12.7229,20,18,5,3.6,1,1,1,3.6,question,past,0,0,0,1,0.8,health_fitness,exercise,0,1,1,3,6,2,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,1,neutral,4,4,7,8,3,2,1,2.0,
지난달에 걷기 몇 번이나 했지?,20.8216,20,18,5,3.6,1,1,1,3.6,question,past,0,0,0,1,0.8,health_fitness,exercise,0,1,1,3,6,2,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,1,neutral,4,4,7,8,3,2,1,2.0,
지난달에 요가 몇 번이나 했지?,15.467,19,17,5,3.4,1,1,1,3.4,question,past,0,0,0,1,0.8,health_fitness,exercise,0,1,1,3,6,2,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,1,neutral,4,4,7,8,3,2,1,2.0,
지난달에 수영 몇 번이나 했지?,9.3088,19,17,5,3.4,1,1,1,3.4,question,past,0,0,0,1,0.8,health_fitness,exercise,0,1,1,3,6,2,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,1,neutral,4,4,7,8,3,2,1,2.0,
지난달에 쿠팡에서 총 얼마나 썼지?,21.5989,22,20,5,4.0,1,1,1,4.0,question,past,0,0,0,1,0.8,finance_spending,shopping,0,1,1,3,7,3,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,2,neutral,5,4,8,9,3,2,2,2.0,
지난달에 이마트에서 총 얼마나 썼지?,12.7241,23,21,5,4.2,1,1,1,4.2,question,past,0,0,0,1,0.8,finance_spending,shopping,0,1,1,3,7,3,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,2,neutral,5,4,8,9,3,2,2,2.0,
지난달에 전통시장에서 총 얼마나 썼지?,23.353,25,23,5,4.6,1,1,1,4.6,question,past,0,0,0,1,0.8,finance_spending,shopping,0,1,1,3,7,3,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,2,neutral,5,4,8,9,3,2,2,2.0,
지난달에 편의점에서 총 얼마나 썼지?,25.8917,24,22,5,4.4,1,1,1,4.4,question,past,0,0,0,1,0.8,finance_spending,shopping,0,1,1,3,7,3,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,2,neutral,5,4,8,9,3,2,2,2.0,
지난달에 유튜브를 총 몇 시간 재생했지?,17.2496,26,24,6,4.0,1,1,1,4.0,question,past,0,0,0,1,0.8,media_usage,video,0,1,1,3,7,3,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,2,neutral,5,4,8,9,3,2,2,2.0,
지난달에 넷플릭스를 총 몇 시간 재생했지?,22.1453,27,25,6,4.17,1,1,1,4.17,question,past,0,0,0,1,0.8,media_usage,video,0,1,1,3,7,3,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,2,neutral,5,4,8,9,3,2,2,2.0,
지난달에 케이팝 플레이리스트를 총 몇 시간 재생했지?,26.7749,33,31,7,4.43,1,1,1,4.43,question,past,0,0,0,1,0.8,media_usage,music,0,1,1,3,7,3,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,2,neutral,5,4,8,9,3,2,2,2.0,
지난달에 팟캐스트를 총 몇 시간 재생했지?,24.7164,27,25,6,4.17,1,1,1,4.17,question,past,0,0,0,1,0.8,media_usage,audio,0,1,1,3,7,3,1,1,1,0,1,2,3,absolute,2,1,0,0,1,1,2,neutral,5,4,8,9,3,2,2,2.0,
지난해에 약속이 몇 번이나 있었지?,33.8893,23,21,6,3.5,1,1,1,3.5,question,past,0,0,0,1,0.8,social,event,0,1,1,3,6,3,1,1,1,0,1,2,3,absolute,1,0,0,0,1,1,1,neutral,5,3,8,9,3,2,1,2.0,
지난해에 모임이 몇 번이나 있었지?,28.1026,23,21,6,3.5,1,1,1,3.5,question,past,0,0,0,1,0.8,social,event,0,1,1,3,6,3,1,1,1,0,1,2,3,absolute,1,0,0,0,1,1,1,neutral,5,3,8,9,3,2,1,2.0,
지난해에 회식이 몇 번이나 있었지?,20.4603,23,21,6,3.5,1,1,1,3.5,question,past,0,0,0,1,0.8,social,event,0,1,1,3,6,3,1,1,1,0,1,2,3,absolute,1,0,0,0,1,1,1,neutral,5,3,8,9,3,2,1,2.0,
지난해에 여행이 몇 번이나 있었지?,13.163,23,21,6,3.5,1,1,1,3.5,question,past,0,0,0,1,0.8,leisure_travel,event,0,1,1,3,6,3,1,1,1,0,1,2,3,absolute,1,0,0,0,1,1,1,neutral,5,3,8,9,3,2,1,2.0,
올해 상반기에 옷을 몇 번이나 샀지?,19.9251,24,22,6,3.67,1,1,1,3.67,question,past,0,0,0,1,0.8,shopping,consumption,0,1,1,3,6,3,1,1,1,0,1,2,3,absolute,1,0,0,0,1,1,1,neutral,5,3,8,9,3,2,1,2.0,
올해 상반기에 신발을 몇 번이나 샀지?,20.4428,25,23,6,3.83,1,1,1,3.83,question,past,0,0,0,1,0.8,shopping,consumption,0,1,1,3,6,3,1,1,1,0,1,2,3,absolute,1,0,0,0,1,1,1,neutral,5,3,8,9,3,2,1,2.0,
