queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_special_char_count,TXT_text_density,LING_query_type,LING_tense,LING_modality,LING_has_negation,LING_has_conditional,LING_clause_complexity,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_count,SEM_entity_types,SEM_abstractness,SEM_specificity,SEM_ambiguity,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,INTENT_urgency_level,INTENT_consequence_severity,INTENT_task_priority,INTENT_emotional_tone,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_reasoning_depth,TASK_modality_types,INTENT_priority,TASK_multi_modal,INTENT_satisfaction_criticality,COMP_join_operations_needed
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 찍은 헬스 자세 영상 보여줘,18.18,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 찍은 요가 동작 영상 보여줘,26.8976,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 찍은 등산 영상 보여줘,7.4636,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,56,50,14.0,4.0,1,1,0.0,0.25,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8929,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,50,44,12.0,4.2,1,1,0.0,0.24,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8833,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,50,44,12.0,4.2,1,1,0.0,0.24,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8833,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,50,44,12.0,4.2,1,1,0.0,0.24,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8833,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지민이 결혼식 일정 알려줘,11.6698,26,22,8.0,3.3,1,1,0.0,0.3077,interrogative,present,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8462,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지민이 졸업식 일정 알려줘,15.3752,26,22,8.0,3.3,1,1,0.0,0.3077,interrogative,present,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8462,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지민이 돌잔치 일정 알려줘,15.7295,26,22,8.0,3.3,1,1,0.0,0.3077,interrogative,present,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8462,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지민이 생일 알려줘,12.1895,26,22,8.0,3.3,1,1,0.0,0.3077,interrogative,present,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8462,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
사려고 찍어둔 와인 사진 다 보여줘,26.8335,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
사려고 찍어둔 신발 사진 다 보여줘,24.4891,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
사려고 찍어둔 옷 사진 다 보여줘,31.3977,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주 작성한 강의 필기 찾아줘,26.106,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,note,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주 작성한 노트 찾아줘,24.2368,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,note,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난 주에 찍어둔 강의 영상 찾아줘,20.803,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주 작성한 메모 찾아줘,11.5135,26,22,8.0,3.3,1,1,0.0,0.3077,interrogative,past,none,0,0,1,1,note,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8462,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
내 여권 사진 찾아줘,18.3003,24,20,6.0,4.0,1,1,0.0,0.25,interrogative,present,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8333,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
주말에 찍은 반려동물 사진 찾아줘,13.2361,32,28,8.0,4.0,1,1,0.0,0.25,interrogative,present,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8333,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가족이랑 찍은 사진 찾아줘,26.9289,26,22,8.0,3.3,1,1,0.0,0.3077,interrogative,present,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8462,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
친구들과 함께 찍은 사진 찾아줘,26.0997,26,22,8.0,3.3,1,1,0.0,0.3077,interrogative,present,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8462,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
봄에 갔던 골프장 어디였지?,20.9377,28,24,8.0,3.5,1,1,0.0,0.2857,interrogative,past,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8571,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여름에 갔던 산 어디였지?,13.8776,26,22,8.0,3.3,1,1,0.0,0.3077,interrogative,past,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8462,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
주말에 갔던 라이딩 코스 어디였지?,18.0121,28,24,8.0,3.5,1,1,0.0,0.2857,interrogative,past,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8571,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가을에 갔던 공원 어디였지?,25.1263,28,24,8.0,3.5,1,1,0.0,0.2857,interrogative,past,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8571,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,finance,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,finance,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,finance,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,finance,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563,38,34,10.0,3.8,1,1,0.0,0.2632,interrogative,past,none,0,0,1,1,music,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8684,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793,38,34,10.0,3.8,1,1,0.0,0.2632,interrogative,past,none,0,0,1,1,music,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8684,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305,38,34,10.0,3.8,1,1,0.0,0.2632,interrogative,past,none,0,0,1,1,music,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8684,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753,38,34,10.0,3.8,1,1,0.0,0.2632,interrogative,past,none,0,0,1,1,music,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8684,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
내일 지원이랑 어디서 만나기로 했지?,15.6107,28,24,8.0,3.5,1,1,0.0,0.2857,interrogative,future,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8571,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
내일 지원이랑 언제 만나기로 했지?,11.9332,28,24,8.0,3.5,1,1,0.0,0.2857,interrogative,future,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8571,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
내일 지원이랑 몇 시에 만나기로 했지?,16.2685,28,24,8.0,3.5,1,1,0.0,0.2857,interrogative,future,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8571,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54,28,24,8.0,3.5,1,1,0.0,0.2857,interrogative,future,none,0,0,1,1,event,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8571,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,shopping,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528,43,39,11.0,3.9,1,1,0.0,0.2558,interrogative,past,none,0,0,1,1,shopping,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8512,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779,47,39,15.0,3.13,1,1,0.0,0.32,interrogative,past,none,0,0,1,1,shopping,none,1,location,5,5,5,1,0,0,0,text,0,single,absolute,7,0,0.0,0,0.0,4,2,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546,47,39,15.0,3.13,1,1,0.0,0.32,interrogative,past,none,0,0,1,1,shopping,none,1,location,5,5,5,1,0,0,0,text,0,single,absolute,7,0,0.0,0,0.0,4,2,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
오늘 미팅 장소와 시간은 어디지?,14.0835,30,25,9.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,meeting,none,1,location,2,5,5,1,0,0,0,text,0,single,absolute,5,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
오늘 약속 장소와 시간은 어디지?,6.7843,30,25,9.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,meeting,none,1,location,2,5,5,1,0,0,0,text,0,single,absolute,5,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
오늘 세미나 장소와 시간은 어디지?,20.0484,30,25,9.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,seminar,none,1,location,2,5,5,1,0,0,0,text,0,single,absolute,5,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
오늘 회의 장소와 시간은 어디지?,11.4985,30,25,9.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,meeting,none,1,location,2,5,5,1,0,0,0,text,0,single,absolute,5,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,past,none,0,0,1,1,restaurant,none,1,location,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
뉴욕 여행 때 갔던 브런치 집 어디였지?,15.9983,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,past,none,0,0,1,1,restaurant,none,1,location,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
부모님 생신 때 갔던 호텔 어디였지?,14.627,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,past,none,0,0,1,1,hotel,none,1,location,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
