queries,MAL
지난주에 찍은 골프 스윙 영상 보여줘,8.7393
지난주에 찍은 헬스 자세 영상 보여줘,18.18
지난주에 찍은 요가 동작 영상 보여줘,26.8976
지난주에 찍은 등산 영상 보여줘,7.4636
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332
지난 주에 찍어둔 통장 사진 찾아줘,14.6009
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902
지민이 결혼식 일정 알려줘,11.6698
지민이 졸업식 일정 알려줘,15.3752
지민이 돌잔치 일정 알려줘,15.7295
지민이 생일 알려줘,12.1895
사려고 찍어둔 와인 사진 다 보여줘,26.8335
사려고 찍어둔 신발 사진 다 보여줘,24.4891
사려고 찍어둔 옷 사진 다 보여줘,31.3977
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091
지난주 작성한 강의 필기 찾아줘,26.106
지난주 작성한 노트 찾아줘,24.2368
지난 주에 찍어둔 강의 영상 찾아줘,20.803
지난주 작성한 메모 찾아줘,11.5135
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384
내 여권 사진 찾아줘,18.3003
주말에 찍은 반려동물 사진 찾아줘,13.2361
가족이랑 찍은 사진 찾아줘,26.9289
친구들과 함께 찍은 사진 찾아줘,26.0997
봄에 갔던 골프장 어디였지?,20.9377
여름에 갔던 산 어디였지?,13.8776
주말에 갔던 라이딩 코스 어디였지?,18.0121
가을에 갔던 공원 어디였지?,25.1263
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753
내일 지원이랑 어디서 만나기로 했지?,15.6107
내일 지원이랑 언제 만나기로 했지?,11.9332
내일 지원이랑 몇 시에 만나기로 했지?,16.2685
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546
오늘 미팅 장소와 시간은 어디지?,14.0835
오늘 약속 장소와 시간은 어디지?,6.7843
오늘 세미나 장소와 시간은 어디지?,20.0484
오늘 회의 장소와 시간은 어디지?,11.4985
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869
뉴욕 여행 때 갔던 브런치 집 어디였지?,15.9983
부모님 생신 때 갔던 호텔 어디였지?,14.627
친구 결혼식 때 갔던 식장 어디였지?,21.6479
성훈이랑 최근에 언제 만났더라?,14.5831
성훈이랑 최근에 어디서 만났더라?,17.0392
성훈이랑 최근에 몇 시에 만났더라?,18.6927
성훈이랑 최근에 무엇 때문에 만났더라?,22.4367
지난달에 운동 몇 번이나 했지?,12.7229
지난달에 걷기 몇 번이나 했지?,20.8216
지난달에 요가 몇 번이나 했지?,15.467
지난달에 수영 몇 번이나 했지?,9.3088
지난달에 쿠팡에서 총 얼마나 썼지?,21.5989
지난달에 이마트에서 총 얼마나 썼지?,12.7241
지난달에 전통시장에서 총 얼마나 썼지?,23.353
지난달에 편의점에서 총 얼마나 썼지?,25.8917
지난달에 유튜브를 총 몇 시간 재생했지?,17.2496
지난달에 넷플릭스를 총 몇 시간 재생했지?,22.1453
지난달에 케이팝 플레이리스트를 총 몇 시간 재생했지?,26.7749
지난달에 팟캐스트를 총 몇 시간 재생했지?,24.7164
지난해에 약속이 몇 번이나 있었지?,33.8893
지난해에 모임이 몇 번이나 있었지?,28.1026
지난해에 회식이 몇 번이나 있었지?,20.4603
지난해에 여행이 몇 번이나 있었지?,13.163
올해 상반기에 옷을 몇 번이나 샀지?,19.9251
올해 상반기에 신발을 몇 번이나 샀지?,20.4428
올해 상반기에 생필품을 몇 번이나 샀지?,28.4905
올해 상반기에 화장품을 몇 번이나 샀지?,17.8084
지난주에 영어 회화를 몇 시간 했지?,18.2183
지난주에 자격증 공부를 몇 시간 했지?,18.8426
지난주에 독서를 몇 시간 했지?,16.7158
지난주에 오프라인 합주를 몇 시간 했지?,21.5635
올해 캠핑을 몇 번이나 갔지?,15.08
올해 나들이를 몇 번이나 갔지?,26.4506
올해 산책을 몇 번이나 갔지?,14.2559
올해 여행을 몇 번이나 갔지?,16.9997
이번 달에 배달 음식을 몇 번 먹었지?,12.1014
이번 달에 외식을 몇 번 먹었지?,25.2473
이번 달에 카페를 몇 번 먹었지?,17.5864
이번 달에 편의점에서 몇 번 먹었지?,20.9935
지난달과 비교했을 때 이번 달 운동량이 얼마나 늘었지?,23.8735
지난달과 비교했을 때 이번 달 걸음 수가 얼마나 늘었지?,12.2085
지난달과 비교했을 때 이번 달 칼로리 소모가 얼마나 늘었지?,14.8955
지난달과 비교했을 때 이번 달 활동 시간이 얼마나 늘었지?,24.6488
작년과 비교했을 때 올해 카드 결제액이 얼마나 늘었지?,25.3443
작년과 비교했을 때 올해 여가 비용이 얼마나 늘었지?,20.8705
작년과 비교했을 때 올해 고정 지출이 얼마나 늘었지?,23.7459
작년과 비교했을 때 올해 생활비가 얼마나 늘었지?,24.2751
올해 가장 많이 들었던 음악 순서대로 알려줘,25.2008
올해 가장 많이 시청했던 유튜브 채널 순서대로 알려줘,20.1194
올해 가장 많이 플레이한 게임 순서대로 알려줘,33.9973
올해 가장 많이 본 드라마 순서대로 알려줘,12.8249
지난달에 성진이랑 통화한 횟수 이번달과 비교해줘,19.2887
지난달에 성진이랑 메시지 교환 횟수 이번달과 비교해줘,21.6109
지난달에 성진이랑 만난 횟수 이번달과 비교해줘,20.2698
지난달에 성진이랑 영상통화 횟수 이번달과 비교해줘,14.0343
온라인 쇼핑과 오프라인 쇼핑 결제 금액 비교해줘,32.1986
카드 결제와 현금 결제 금액 비교해줘,26.7424
이번 달과 지난달 결제 금액 비교해줘,21.2016
평일과 주말 결제 금액 비교해줘,30.0478
이번 달이랑 지난달 근무 시간을 비교해줘,31.5749
이번 달이랑 지난달 회의 시간을 비교해줘,17.9169
이번 달이랑 지난달 학습 시간을 비교해줘,21.2882
이번 달이랑 지난달 작업 시간을 비교해줘,21.7818
여행 갔을 때 평소보다 평균 걸음 수가 얼마나 늘었지?,17.8381
여행 갔을 때 평소보다 활동량이 얼마나 늘었지?,27.7023
여행 갔을 때 평소보다 이동 거리가 얼마나 늘었지?,22.2324
여행 갔을 때 평소보다 칼로리 소모가 얼마나 늘었지?,29.7746
지난달에 집에서 보낸 시간과 밖에서 보낸 시간 비교해줘,36.7562
지난달에 근무 시간과 여가 시간 비교해줘,21.8848
지난달과 이번달 취미생활하는데 쓴 시간 비교해줘,27.537
지난달과 이번달에 가장 많이 먹은 음식 비교해줘,36.4351
이번 주 요일 별 칼로리 소모량을 순서대로 알려줘,11.356
이번 주 날짜 별 칼로리 소모량을 순서대로 알려줘,20.8111
이번 주 시간 별 칼로리 소모량을 순서대로 알려줘,23.7308
이번 주 활동 별 칼로리 소모량을 순서대로 알려줘,32.4589
지난달 카드 결제 내역을 정리해서 가계부로 작성해줘,30.0569
지난달 관리비 내역을 정리해서 가계부로 작성해줘,19.4243
지난달 저축 금액 내역을 정리해서 가계부로 작성해줘,34.3083
지난달 용돈 내역을 정리해서 가계부로 작성해줘,26.1903
작년 이맘때쯤 자주 들었던 음악 리스트 만들어줘,18.1467
작년 이맘때쯤 자주 시청한 영상 리스트 만들어줘,32.5002
작년 이맘때쯤 자주 플레이한 게임 리스트 만들어줘,17.6907
작년 이맘때쯤 자주 읽은 책 리스트 만들어줘,20.6366
어제 친구들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.3406
어제 가족들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,18.0877
어제 팀원들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,24.9038
어제 동료들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.806
이번주 마트에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,22.965
이번주 다이소에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,35.0526
이번주 올리브영에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.6875
이번주 편의점에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.0415
지난달에 정리한 강의노트를 한 장으로 요약 정리해줘,26.5597
지난달에 작성한 업무노트를 한 장으로 요약 정리해줘,32.4549
지난달에 녹음한 회의록을 한 장으로 요약 정리해줘,46.0703
지난달에 촬영한 메모를 한 장으로 요약 정리해줘,40.983
스페인 여행에서 내가 갔던 곳 모두 정리해서 알려줘,27.994
여름휴가 동안 내가 갔던 곳 모두 정리해서 알려줘,23.1966
지난 주말에 내가 갔던 곳 모두 정리해서 알려줘,19.0671
가족 여행으로 내가 갔던 곳 모두 정리해서 알려줘,48.7953
가족 단체 사진만 모두 모아서 영상으로 만들어줘,81.7913
반려동물 사진만 모두 모아서 영상으로 만들어줘,50.5136
내 증명 사진만 모두 모아서 영상으로 만들어줘,66.8085
친구들과 사진만 모두 모아서 영상으로 만들어줘,91.1981
만보 정도 걸을 수 있는 한강 산책 코스 추천해줘,14.7629
만보 정도 걸을 수 있는 동네 산책 코스 추천해줘,14.4268
만보 정도 걸을 수 있는 공원 산책로 추천해줘,18.6808
만보 정도 걸을 수 있는 해변 산책로 추천해줘,17.9301
10만원 정도 가격대로 갈 만한 집 근처 술집 찾아줘,14.7395
10만원 정도 가격대로 갈 만한 집 근처 식당 찾아줘,24.9278
10만원 정도 가격대로 갈 만한 집 근처 카페 찾아줘,16.5807
10만원 정도 가격대로 갈 만한 집 근처 펜션 찾아줘,24.5787
블랙핑크 '뛰어' 랑 비슷한 느낌의 노래 추천해줘,12.4405
영화 '귀멸의 칼날: 무한성 편'이랑 비슷한 느낌의 영화 추천해줘,12.1376
드라마 '오징어게임'이랑 비슷한 느낌의 드라마 추천해줘,26.245
책 '스토너'랑 비슷한 느낌의 책 추천해줘,24.9037
지난번 두산이가 말했던 식당이랑 비슷한 곳 찾아줘,26.4361
지난번 두산이가 말했던 카페랑 비슷한 곳 찾아줘,24.0292
지난번 두산이가 말했던 나들이 장소랑 비슷한 곳 찾아줘,19.9965
지난번 두산이가 말했던 여행지랑 비슷한 곳 찾아줘,21.7256
이 사진에 있는 신발이랑 비슷한 디자인 찾아줘,21.4302
이 사진에 있는 티셔츠랑 비슷한 디자인 찾아줘,23.3894
이 사진에 있는 가구랑 비슷한 디자인 찾아줘,9.9031
이 사진에 있는 액세서리랑 비슷한 디자인 찾아줘,34.4119
이 노트에 있는 내용과 관련된 유튜브 찾아줘,32.3092
이 논문에 있는 내용과 관련된 강의 영상 찾아줘,39.9892
이 회의록에 있는 내용과 관련된 뉴스 찾아줘,19.6215
이 메모에 있는 내용과 관련된 자료 찾아줘,24.0666
지난달에 갔던 캠핑장과 비슷한 곳 찾아줘,27.9766
지난달에 갔던 공원과 비슷한 곳 찾아줘,18.1948
지난달에 갔던 수목원과 비슷한 곳 찾아줘,17.8119
지난달에 갔던 나들이 장소와 비슷한 곳 찾아줘,37.8376
사진에 있는 이런 가방을 구경해 볼 수 있는 곳 찾아줘,18.7553
사진에 있는 이런 소파를 구경해 볼 수 있는 곳 찾아줘,20.5872
사진에 있는 이런 식탁을 구경해 볼 수 있는 곳 찾아줘,32.2836
사진에 있는 이런 인테리어 장식을 구경해 볼 수 있는 곳 찾아줘,19.7669
오늘 목표 걸음수를 채울 수 있는 코스 추천해줘,22.0324
지금 근처에서 할 수 있는 운동 추천해줘,13.1321
오늘 목표 칼로리를 달성 할 수 있는 운동 추천해줘,10.5821
오늘같은 날씨에 하면 좋을 운동 추천해줘,12.9894
지금 여기 아울렛에서 할인되는 카드 추천해줘,15.8561
지금 여기 백화점에서 할인되는 카드 추천해줘,17.9164
지금 여기 식당에서 할인되는 카드 추천해줘,17.2717
지금 여기 카페에서 할인되는 카드 추천해줘,14.4256
출퇴근 시간에 볼 만한 영상 추천해줘,18.0612
공부할 때에 들으면 좋은 노래 추천해줘,14.1756
운동 중에 즐길 만한 콘텐츠 추천해줘,17.051
휴식 시간에 읽기 좋은 책 추천해줘,12.775
지금 대화 중인 친구들과 갈 만한 식당 찾아줘,18.7958
지금 대화 중인 친구들과 갈 만한 카페 찾아줘,19.255
지금 대화 중인 친구들과 갈 만한 펍 찾아줘,22.1998
지금 대화 중인 친구들과 갈 만한 노래방 찾아줘,12.8402
지금 내가 갖고 있는 멤버십 중에 여기 백화점에서 할인되는 멤버십 찾아줘,25.0356
지금 내가 갖고 있는 쿠폰 중에 여기 마트에서 할인되는 쿠폰 찾아줘,18.4119
지금 내가 갖고 있는 카드 중에 여기 아울렛에서 할인되는 카드 찾아줘,28.7196
지금 내가 갖고 있는 카드 중에 여기 온라인쇼핑몰에서 할인되는 카드 찾아줘,19.6738
지금 30분 정도 여유 시간에 볼만한 도서 추천해줘,10.3147
지금 30분 정도 여유 시간에 볼만한 한국사 강의 추천해줘,17.7394
지금 30분 정도 여유 시간에 볼만한 자기 계발 영상 추천해줘,15.1364
지금 30분 정도 여유 시간에 볼만한 다큐멘터리 추천해줘,18.6942
현재 위치에서 걸어서 갈 수 있는 맛집 리스트 보여줘,18.3592
현재 위치에서 걸어서 갈 수 있는 카페 리스트 보여줘,18.4366
현재 위치에서 걸어서 갈 수 있는 가볼만한 곳 리스트 보여줘,23.8414
현재 위치에서 걸어서 갈 수 있는 오프라인 쇼핑몰 리스트 보여줘,17.871
오늘 날씨에 적합한 패션 스타일 추천해줘,10.6296
오늘 출장지에 적합한 패션 스타일 추천해줘,22.7296
오늘 저녁 약속에 적합한 패션 스타일 추천해줘,19.0553
이번 주말에 뭐 입으면 좋을지 추천해줘,17.5808
내가 자주 먹는 음식을 분석해서 늦은 밤에 먹기 좋은 건강식 추천해줘,26.025
내가 자주 먹는 음식을 분석해서 아침에 먹기 좋은 간편식 추천해줘,13.3468
내가 자주 먹는 음식을 분석해서 운동 후 먹기 좋은 음식 추천해줘,12.6053
내가 자주 먹는 음식을 분석해서 다이어트할 때 먹기 좋은 음식 추천해줘,28.1394
커피값 많이 쓰는 나한테 맞는 원두 구독 서비스 추천해줄래?,24.8223
영화 많이 보는 나한테 맞는 OTT 구독 서비스 추천해줄래?,15.5363
트렌디한 영상 자주 보는 나한테 맞는 SNS/커뮤니티 서비스 추천해줄래?,26.3098
음악 많이 듣는 나한테 맞는 음악 스트리밍 구독 서비스 추천해줄래?,18.4527
내가 평소 듣는 콘텐츠 기준으로 재밌는 팟캐스트 추천해줘,27.8044
내가 평소 보는 콘텐츠 기준으로 볼 만한 유튜브 채널 추천해줘,23.3731
내가 평소 듣는 콘텐츠 기준으로 새로운 음악 추천해줘,15.7212
내가 평소 듣는 콘텐츠 기준으로 들을 만한 라디오 추천해줘,21.2035
재희랑 했던 대화를 분석해서 재희가 좋아할 만한 생일 선물 추천해줘,37.2681
재희랑 했던 대화를 분석해서 재희가 좋아할 만한 기념일 선물 추천해줘,29.7371
재희랑 했던 대화를 분석해서 재희가 좋아할 만한 크리스마스 선물 추천해줘,31.2297
재희랑 했던 대화를 분석해서 재희가 좋아할 만한 졸업 선물 추천해줘,41.8565
내가 자주 사는 치약을 최저가로 구매할 수 있는 곳 알려줘,20.2837
내가 자주 사는 샴푸를 할인가로 구매할 수 있는 곳 알려줘,17.4653
내가 자주 사는 세제를 특가로 구매할 수 있는 곳 알려줘,23.5022
내가 자주 사는 화장지를 저렴한 가격으로 구매할 수 있는 곳 알려줘,22.2698
내가 자주 보는 콘텐츠 기준으로 볼만한 최신 뉴스 검색해줘,24.3256
내가 자주 보는 콘텐츠 기준으로 볼만한 최신 트렌드 검색해줘,15.0165
내가 자주 보는 콘텐츠 기준으로 볼만한 최신 잡지 검색해줘,27.3833
내가 자주 보는 콘텐츠 기준으로 볼만한 최신 블로그 검색해줘,15.2104
나연이랑 갈만한 점심 식당 추천해줘,14.9039
나연이랑 갈만한 점심 카페 추천해줘,20.0891
나연이랑 갈만한 점심 데이트 장소 추천해줘,36.2261
나연이랑 갈만한 점심 브런치 카페 추천해줘,20.0408
내 건강 데이터를 참고해서 오늘 식단을 추천해줘,28.2162
내 일정(캘린더)을 참고해서 오늘 점심 메뉴 추천해줘,18.7407
내 목표 칼로리와 운동량을 참고해서 오늘 식단을 추천해줘,20.401
내 수면 분석 데이터를 참고해서 오늘 식단을 추천해줘,21.7058