queries,MAL,QL_chars,QL_words,task_category,modality_type,temporal_scope_level,urgency_level,personalization_depth,requires_aggregation,requires_generation,requires_historical_search,output_cardinality_expectation,stakes_importance_level,social_context_present,device_context_implicit,comparison_task,list_ordering_required,media_transformation,calendar_or_schedule_related,finance_or_spending_related,health_fitness_related,shopping_or_commerce_related,entertainment_media_related,requires_external_like_search,multi_source_integration,contains_explicit_time_budget,time_reference_recency,explicit_counting_or_frequency,explicit_comparison_target_num,question_specificity_level,output_format_structured,output_format_media,named_person_count,contains_location_context,contains_goal_or_target,contains_discount_or_savings_focus,contains_emotional_or_preference_inference,historical_span_complexity,contains_relative_change_request,context_now_or_here,contains_family_or_important_relationship,media_volume_implied,analysis_vs_lookup_balance
드라마 '오징어게임'이랑 비슷한 느낌의 드라마 추천해줘,26.245,34,6,recommend_content,none/implicit,4,2,0,0,1,0,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,3
책 '스토너'랑 비슷한 느낌의 책 추천해줘,24.9037,26,6,recommend_content,none/implicit,4,2,0,0,1,0,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,3
지난번 두산이가 말했던 식당이랑 비슷한 곳 찾아줘,26.4361,33,7,recommend_place,none/implicit,3,2,1,0,1,1,2,1,1,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,0,0,1,6,0,0,0,1,3
지난번 두산이가 말했던 카페랑 비슷한 곳 찾아줘,24.0292,31,7,recommend_place,none/implicit,3,2,1,0,1,1,2,1,1,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,0,0,1,6,0,0,0,1,3
지난번 두산이가 말했던 나들이 장소랑 비슷한 곳 찾아줘,19.9965,35,7,recommend_place,none/implicit,3,2,1,0,1,1,2,1,1,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,0,0,1,6,0,0,0,1,3
지난번 두산이가 말했던 여행지랑 비슷한 곳 찾아줘,21.7256,33,7,recommend_place,none/implicit,3,2,1,0,1,1,2,1,1,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,0,0,1,6,0,0,0,1,3
이 사진에 있는 신발이랑 비슷한 디자인 찾아줘,21.4302,31,7,recommend_product,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
이 사진에 있는 티셔츠랑 비슷한 디자인 찾아줘,23.3894,31,7,recommend_product,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
이 사진에 있는 가구랑 비슷한 디자인 찾아줘,9.9031,29,7,recommend_product,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
이 사진에 있는 액세서리랑 비슷한 디자인 찾아줘,34.4119,34,7,recommend_product,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
이 노트에 있는 내용과 관련된 유튜브 찾아줘,32.3092,30,7,requires_external_like_search,text_note,4,2,0,0,1,0,2,2,0,work/productivity,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,1,0,0,3,0,0,0,1,3
이 논문에 있는 내용과 관련된 강의 영상 찾아줘,39.9892,35,7,recommend_content,text_note,4,2,0,0,1,0,2,2,0,work/productivity,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,1,0,0,1,0,0,6,0,0,0,1,3
이 회의록에 있는 내용과 관련된 뉴스 찾아줘,19.6215,31,7,recommend_content,text_note,4,2,0,0,1,0,2,2,0,work/productivity,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,0,0,3,0,0,0,1,3
이 메모에 있는 내용과 관련된 자료 찾아줘,24.0666,30,7,recommend_content,text_note,4,2,0,0,1,0,2,2,0,work/productivity,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,0,0,3,0,0,0,1,3
지난달에 갔던 캠핑장과 비슷한 곳 찾아줘,27.9766,33,6,recommend_place,none/implicit,3,2,1,0,1,1,2,2,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,6,0,0,0,2,3
지난달에 갔던 공원과 비슷한 곳 찾아줘,18.1948,29,6,recommend_place,none/implicit,3,2,1,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,6,0,0,0,2,3
지난달에 갔던 수목원과 비슷한 곳 찾아줘,17.8119,31,6,recommend_place,none/implicit,3,2,1,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,6,0,0,0,2,3
지난달에 갔던 나들이 장소와 비슷한 곳 찾아줘,37.8376,37,7,recommend_place,none/implicit,3,2,1,0,1,1,2,2,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,6,0,0,0,2,3
사진에 있는 이런 가방을 구경해 볼 수 있는 곳 찾아줘,18.7553,34,8,recommend_place,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
사진에 있는 이런 소파를 구경해 볼 수 있는 곳 찾아줘,20.5872,36,8,recommend_place,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
사진에 있는 이런 식탁을 구경해 볼 수 있는 곳 찾아줘,32.2836,38,8,recommend_place,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
사진에 있는 이런 인테리어 장식을 구경해 볼 수 있는 곳 찾아줘,19.7669,39,9,recommend_place,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
오늘 목표 걸음수를 채울 수 있는 코스 추천해줘,22.0324,19,8,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,1,0,1,3
지금 근처에서 할 수 있는 운동 추천해줘,13.1321,16,7,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,mobile_on_the_go,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,1,1,0,0,1,0,1,0,1,3
오늘 목표 칼로리를 달성 할 수 있는 운동 추천해줘,10.5821,20,9,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,1,0,1,3
오늘같은 날씨에 하면 좋을 운동 추천해줘,12.9894,17,6,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,3
지금 여기 아울렛에서 할인되는 카드 추천해줘,15.8561,17,6,recommend_product,none/implicit,1,3,1,0,1,0,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,0,1,3
지금 여기 백화점에서 할인되는 카드 추천해줘,17.9164,19,6,recommend_product,none/implicit,1,3,1,0,1,0,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,0,1,3
지금 여기 식당에서 할인되는 카드 추천해줘,17.2717,18,6,recommend_product,none/implicit,1,3,1,0,1,0,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,0,1,3
지금 여기 카페에서 할인되는 카드 추천해줘,14.4256,18,6,recommend_product,none/implicit,1,3,1,0,1,0,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,0,1,3
출퇴근 시간에 볼 만한 영상 추천해줘,18.0612,15,6,recommend_content,none/implicit,1,2,1,0,1,0,2,1,0,mobile_on_the_go,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3
공부할 때에 들으면 좋은 노래 추천해줘,14.1756,16,6,recommend_content,none/implicit,4,2,1,0,1,0,2,1,0,work/productivity,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3
운동 중에 즐길 만한 콘텐츠 추천해줘,17.051,15,6,recommend_content,none/implicit,4,2,1,0,1,0,2,1,0,health_fitness,0,0,0,0,0,1,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3
휴식 시간에 읽기 좋은 책 추천해줘,12.775,14,6,recommend_content,none/implicit,1,2,1,0,1,0,2,1,0,home_planning,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3
지금 대화 중인 친구들과 갈 만한 식당 찾아줘,18.7958,18,8,recommend_place,none/implicit,1,3,1,0,0,0,2,2,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,1,0,1,2
지금 대화 중인 친구들과 갈 만한 카페 찾아줘,19.255,18,8,recommend_place,none/implicit,1,3,1,0,0,0,2,2,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,1,0,1,2
지금 대화 중인 친구들과 갈 만한 펍 찾아줘,22.1998,17,8,recommend_place,none/implicit,1,3,1,0,0,0,2,2,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,1,0,1,2
지금 대화 중인 친구들과 갈 만한 노래방 찾아줘,12.8402,19,8,recommend_place,none/implicit,1,3,1,0,0,0,2,2,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,1,0,1,2
지금 내가 갖고 있는 멤버십 중에 여기 백화점에서 할인되는 멤버십 찾아줘,25.0356,30,11,recommend_product,none/implicit,1,3,2,1,0,1,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,1,0,1,0,1,2,0,0,0,1,1,1,0,3,0,1,0,1,2
지금 내가 갖고 있는 쿠폰 중에 여기 마트에서 할인되는 쿠폰 찾아줘,18.4119,27,11,recommend_product,none/implicit,1,3,2,1,0,1,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,1,0,1,0,1,2,0,0,0,1,1,1,0,3,0,1,0,1,2
지금 내가 갖고 있는 카드 중에 여기 아울렛에서 할인되는 카드 찾아줘,28.7196,28,11,recommend_product,none/implicit,1,3,2,1,0,1,2,3,0,shopping_context,0,0,0,0,1,0,1,0,1,1,0,1,0,1,2,0,0,0,1,1,1,0,3,0,1,0,1,2
지금 내가 갖고 있는 카드 중에 여기 온라인쇼핑몰에서 할인되는 카드 찾아줘,19.6738,31,11,recommend_product,none/implicit,1,3,2,1,0,1,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,1,0,1,0,1,2,0,0,0,0,1,1,0,3,0,1,0,1,2
지금 30분 정도 여유 시간에 볼만한 도서 추천해줘,10.3147,20,8,recommend_content,none/implicit,1,2,1,0,1,0,2,1,0,home_planning,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,3
지금 30분 정도 여유 시간에 볼만한 한국사 강의 추천해줘,17.7394,23,9,recommend_content,none/implicit,1,2,1,0,1,0,2,2,0,work/productivity,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,1,0,1,3
지금 30분 정도 여유 시간에 볼만한 자기 계발 영상 추천해줘,15.1364,25,9,recommend_content,none/implicit,1,2,1,0,1,0,2,1,0,home_planning,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,3
지금 30분 정도 여유 시간에 볼만한 다큐멘터리 추천해줘,18.6942,27,9,recommend_content,none/implicit,1,2,1,0,1,0,2,2,0,home_planning,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,3
현재 위치에서 걸어서 갈 수 있는 맛집 리스트 보여줘,18.3592,21,9,recommend_place,none/implicit,1,3,1,1,0,0,3,2,0,mobile_on_the_go,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,1,0,1,0,2,2
현재 위치에서 걸어서 갈 수 있는 카페 리스트 보여줘,18.4366,20,9,recommend_place,none/implicit,1,3,1,1,0,0,3,2,0,mobile_on_the_go,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,1,0,1,0,2,2
현재 위치에서 걸어서 갈 수 있는 가볼만한 곳 리스트 보여줘,23.8414,24,9,recommend_place,none/implicit,1,3,1,1,0,0,3,2,0,mobile_on_the_go,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,1,0,1,0,2,2
현재 위치에서 걸어서 갈 수 있는 오프라인 쇼핑몰 리스트 보여줘,17.871,27,10,recommend_place,none/implicit,1,3,1,1,0,0,3,2,0,mobile_on_the_go,0,1,0,0,0,0,1,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,1,0,1,0,2,2
오늘 날씨에 적합한 패션 스타일 추천해줘,10.6296,17,6,recommend_content,none/implicit,1,3,1,0,1,0,2,1,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,3
오늘 출장지에 적합한 패션 스타일 추천해줘,22.7296,18,6,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,home_planning,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,3
오늘 저녁 약속에 적합한 패션 스타일 추천해줘,19.0553,20,7,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,home_planning,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,3
이번 주말에 뭐 입으면 좋을지 추천해줘,17.5808,16,6,recommend_content,none/implicit,2,2,1,0,1,0,2,1,0,home_planning,0,0,0,0,0,0,1,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3
내가 자주 먹는 음식을 분석해서 늦은 밤에 먹기 좋은 건강식 추천해줘,26.025,28,11,recommend_content,none/implicit,4,2,2,1,1,1,2,2,0,home_planning,0,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,0,0,0,1,0,1,3,0,0,0,1,3
내가 자주 먹는 음식을 분석해서 아침에 먹기 좋은 간편식 추천해줘,13.3468,27,11,recommend_content,none/implicit,4,2,2,1,1,1,2,2,0,home_planning,0,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,0,0,0,1,0,1,3,0,0,0,1,3
내가 자주 먹는 음식을 분석해서 운동 후 먹기 좋은 음식 추천해줘,12.6053,27,11,recommend_content,none/implicit,4,2,2,1,1,1,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,0,0,0,1,0,1,3,0,0,0,1,3
내가 자주 먹는 음식을 분석해서 다이어트할 때 먹기 좋은 음식 추천해줘,28.1394,29,11,recommend_content,none/implicit,4,2,2,1,1,1,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,0,0,0,1,0,1,3,0,0,0,1,3
커피값 많이 쓰는 나한테 맞는 원두 구독 서비스 추천해줄래?,24.8223,24,9,recommend_content,none/implicit,4,2,1,0,1,1,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,0,0,0,1,0,1,3,0,0,0,1,3
영화 많이 보는 나한테 맞는 OTT 구독 서비스 추천해줄래?,15.5363,24,9,recommend_content,entertainment_media,4,2,1,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,1,1,1,0,0,4,0,1,2,0,0,0,0,1,0,1,3,0,0,0,1,3
트렌디한 영상 자주 보는 나한테 맞는 SNS/커뮤니티 서비스 추천해줄래?,26.3098,30,9,recommend_content,entertainment_media,4,2,1,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,1,0,1,3,0,0,0,1,3
음악 많이 듣는 나한테 맞는 음악 스트리밍 구독 서비스 추천해줄래?,18.4527,27,9,recommend_content,entertainment_media,4,2,1,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,1,1,1,0,0,4,0,1,2,0,0,0,0,1,0,1,3,0,0,0,1,3
내가 평소 듣는 콘텐츠 기준으로 재밌는 팟캐스트 추천해줘,27.8044,24,8,recommend_content,entertainment_media,4,2,2,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,1,0,1,3,0,0,0,1,3
내가 평소 보는 콘텐츠 기준으로 볼 만한 유튜브 채널 추천해줘,23.3731,25,9,recommend_content,entertainment_media,4,2,2,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,1,0,1,3,0,0,0,1,3
내가 평소 듣는 콘텐츠 기준으로 새로운 음악 추천해줘,15.7212,25,8,recommend_content,entertainment_media,4,2,2,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,1,0,1,3,0,0,0,1,3
내가 평소 듣는 콘텐츠 기준으로 들을 만한 라디오 추천해줘,21.2035,28,9,recommend_content,entertainment_media,4,2,2,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,1,0,1,3,0,0,0,1,3
재희랑 했던 대화를 분석해서 재희가 좋아할 만한 생일 선물 추천해줘,37.2681,30,10,recommend_content,none/implicit,4,2,2,1,1,1,2,2,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,1,0,1,0,1,6,0,0,0,1,3
재희랑 했던 대화를 분석해서 재희가 좋아할 만한 기념일 선물 추천해줘,29.7371,30,10,recommend_content,none/implicit,4,2,2,1,1,1,2,2,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,1,0,1,0,1,6,0,0,0,1,3
재희랑 했던 대화를 분석해서 재희가 좋아할 만한 크리스마스 선물 추천해줘,31.2297,32,10,recommend_content,none/implicit,4,2,2,1,1,1,2,2,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,1,0,1,0,1,6,0,0,0,1,3
재희랑 했던 대화를 분석해서 재희가 좋아할 만한 졸업 선물 추천해줘,41.8565,30,10,recommend_content,none/implicit,4,2,2,1,1,1,2,3,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,1,0,1,0,1,6,0,0,0,1,3
내가 자주 사는 치약을 최저가로 구매할 수 있는 곳 알려줘,20.2837,28,10,retrieve_personal_log,none/implicit,4,2,1,0,0,1,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,0,0,0,1,1,0,3,0,0,0,1,2
내가 자주 사는 샴푸를 할인가로 구매할 수 있는 곳 알려줘,17.4653,28,10,retrieve_personal_log,none/implicit,4,2,1,0,0,1,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,0,0,0,1,1,0,3,0,0,0,1,2
내가 자주 사는 세제를 특가로 구매할 수 있는 곳 알려줘,23.5022,28,10,retrieve_personal_log,none/implicit,4,2,1,0,0,1,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,0,0,0,1,1,0,3,0,0,0,1,2
내가 자주 사는 화장지를 저렴한 가격으로 구매할 수 있는 곳 알려줘,22.2698,31,11,retrieve_personal_log,none/implicit,4,2,1,0,0,1,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,0,0,0,1,1,0,3,0,0,0,1,2
내가 자주 보는 콘텐츠 기준으로 볼만한 최신 뉴스 검색해줘,24.3256,30,9,requires_external_like_search,none/implicit,4,2,1,0,0,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,1,0,1,3,0,0,0,1,2
내가 자주 보는 콘텐츠 기준으로 볼만한 최신 트렌드 검색해줘,15.0165,28,9,requires_external_like_search,none/implicit,4,2,1,0,0,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,1,0,1,3,0,0,0,1,2
내가 자주 보는 콘텐츠 기준으로 볼만한 최신 잡지 검색해줘,27.3833,30,9,requires_external_like_search,none/implicit,4,2,1,0,0,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,1,0,1,3,0,0,0,1,2
내가 자주 보는 콘텐츠 기준으로 볼만한 최신 블로그 검색해줘,15.2104,28,9,requires_external_like_search,none/implicit,4,2,1,0,0,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,1,0,1,3,0,0,0,1,2
나연이랑 갈만한 점심 식당 추천해줘,14.9039,23,5,recommend_place,location/places,4,2,1,0,1,0,2,2,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,0,1,0,1,0,1,3,0,0,0,1,3
나연이랑 갈만한 점심 카페 추천해줘,20.0891,26,6,recommend_place,location/places,4,2,1,0,1,0,2,2,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,0,1,0,1,0,1,3,0,0,0,1,3
나연이랑 갈만한 점심 데이트 장소 추천해줘,36.2261,32,6,recommend_place,location/places,4,2,1,0,1,0,2,3,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,0,1,0,1,0,1,3,0,0,0,1,3
나연이랑 갈만한 점심 브런치 카페 추천해줘,20.0408,31,7,recommend_place,location/places,4,2,1,0,1,0,2,2,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,0,1,0,1,0,1,3,0,0,0,1,3
내 건강 데이터를 참고해서 오늘 식단을 추천해줘,28.2162,24,7,recommend_content,health/fitness,1,3,2,1,1,1,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,0,0,0,0,1,0,1,3,0,1,0,1,3
내 일정(캘린더)을 참고해서 오늘 점심 메뉴 추천해줘,18.7407,28,8,recommend_content,calendar/schedule,1,3,2,0,1,0,2,2,0,home_planning,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,1,0,0,1,0,1,0,1,2
내 목표 칼로리와 운동량을 참고해서 오늘 식단을 추천해줘,20.401,35,10,recommend_content,health/fitness,1,3,2,1,1,1,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,0,0,0,0,1,0,1,3,0,1,0,1,3
내 수면 분석 데이터를 참고해서 오늘 식단을 추천해줘,21.7058,33,8,recommend_content,health/fitness,1,3,2,1,1,1,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,0,0,0,0,1,0,1,3,0,1,0,1,3
