queries,MAL,QL_char_len,QL_word_len,QL_has_time_ref,QL_time_granularity,QL_has_future_ref,QL_urgency_level,QL_task_type,QL_data_modalities,QL_personalization_depth,QL_requires_history_span,QL_requires_external_knowledge,QL_location_coupled,QL_output_size_expectation,QL_comparison_required,QL_summary_required,QL_recommender_task,QL_visual_input_ref,QL_social_context,QL_device_likely_mobile,QL_goal_type,QL_question_formality,QL_contains_numeric_amount,QL_financial_domain,QL_health_activity_domain,QL_media_domain,QL_shopping_domain,QL_travel_location_domain,QL_calendar_schedule_domain,QL_chat_analysis,QL_requires_cross_modal,QL_temporal_comparison,QL_long_horizon_planning,QL_preference_learning,QL_cost_savings_focus,QL_weather_coupled,QL_session_length_hint,QL_requires_ranking,QL_requires_structured_output,QL_reference_to_past_recommendation,QL_refers_to_goal_or_target,QL_contains_season_ref,QL_context_phrase_now_here,QL_recall_specific_entity,QL_counting_frequency,QL_language_complexity_proxy,QL_has_explicit_constraint_price,QL_has_explicit_constraint_time_window,QL_has_explicit_constraint_distance,QL_emb_intent_cluster,QL_emb_complexity_axis,QL_emb_personalization_axis
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,20,4,1,3,0,1,retrieve_item,photo/video,0,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_media_personal,0.3,0.1
지난주에 찍은 헬스 자세 영상 보여줘,18.18,20,4,1,3,0,1,retrieve_item,photo/video,0,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_media_personal,0.3,0.1
지난주에 찍은 요가 동작 영상 보여줘,26.8976,20,4,1,3,0,1,retrieve_item,photo/video,0,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_media_personal,0.3,0.1
지난주에 찍은 등산 영상 보여줘,7.4636,17,4,1,3,0,1,retrieve_item,photo/video,0,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_media_personal,0.3,0.1
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,20,5,1,3,0,1,retrieve_item,photo/video,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,recall_finance_doc,0.35,0.4
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,19,5,1,3,0,1,retrieve_item,photo/video,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,recall_finance_doc,0.35,0.4
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,20,5,1,3,0,1,retrieve_item,photo/video,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,recall_finance_doc,0.35,0.4
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,18,5,1,3,0,1,retrieve_item,photo/video,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,0,recall_finance_doc,0.35,0.4
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,37,7,1,3,0,1,retrieve_item,media_history,2,1,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.86,0,0,0,recall_social_media,0.45,0.7
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,33,6,1,3,0,1,retrieve_item,media_history,2,1,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.83,0,0,0,recall_social_media,0.45,0.7
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523,34,6,1,3,0,1,retrieve_item,media_history,2,1,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.83,0,0,0,recall_social_media,0.45,0.7
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902,34,6,1,3,0,1,retrieve_item,media_history,2,1,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.83,0,0,0,recall_social_media,0.45,0.7
지민이 결혼식 일정 알려줘,11.6698,14,3,0,0,0,0,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,1,0,remember/recall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.67,0,0,0,recall_calendar,0.25,0.5
지민이 졸업식 일정 알려줘,15.3752,14,3,0,0,0,0,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,1,0,remember/recall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.67,0,0,0,recall_calendar,0.25,0.5
지민이 돌잔치 일정 알려줘,15.7295,14,3,0,0,0,0,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,1,0,remember/recall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.67,0,0,0,recall_calendar,0.25,0.5
지민이 생일 알려줘,12.1895,9,2,0,0,0,0,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,1,0,remember/recall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,recall_calendar,0.2,0.5
사려고 찍어둔 와인 사진 다 보여줘,26.8335,18,5,0,0,1,0,retrieve_item,photo/video,1,0,0,0,2,0,0,0,0,0,0,shop/save_money,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,recall_shopping_photo,0.35,0.6
사려고 찍어둔 신발 사진 다 보여줘,24.4891,18,5,0,0,1,0,retrieve_item,photo/video,1,0,0,0,2,0,0,0,0,0,0,shop/save_money,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,recall_shopping_photo,0.35,0.6
사려고 찍어둔 옷 사진 다 보여줘,31.3977,16,5,0,0,1,0,retrieve_item,photo/video,1,0,0,0,2,0,0,0,0,0,0,shop/save_money,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,recall_shopping_photo,0.35,0.6
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091,20,5,0,0,1,0,retrieve_item,photo/video,1,0,0,0,2,0,0,0,0,0,0,shop/save_money,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,recall_shopping_photo,0.35,0.6
지난주 작성한 강의 필기 찾아줘,26.106,16,4,1,3,0,1,retrieve_item,text_note/doc,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_notes,0.3,0.5
지난주 작성한 노트 찾아줘,24.2368,13,3,1,3,0,1,retrieve_item,text_note/doc,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,recall_notes,0.25,0.5
지난 주에 찍어둔 강의 영상 찾아줘,20.803,18,5,1,3,0,1,retrieve_item,photo/video,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,recall_media_personal,0.35,0.5
지난주 작성한 메모 찾아줘,11.5135,13,3,1,3,0,1,retrieve_item,text_note/doc,1,1,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,recall_notes,0.25,0.5
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496,23,6,0,0,0,0,retrieve_item,photo/video,1,3,0,1,2,0,0,0,0,0,0,remember/recall,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,recall_travel_photo,0.4,0.6
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941,21,5,0,0,0,0,retrieve_item,photo/video,1,3,0,1,2,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,recall_travel_photo,0.38,0.6
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216,21,5,0,0,0,0,retrieve_item,photo/video,1,3,0,1,2,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,recall_travel_photo,0.38,0.6
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384,23,5,0,0,0,0,retrieve_item,photo/video,1,3,0,1,2,0,0,0,0,0,0,remember/recall,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,recall_travel_photo,0.4,0.6
내 여권 사진 찾아줘,18.3003,10,3,0,0,0,0,retrieve_item,photo/video,2,0,0,0,1,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.67,0,0,0,recall_travel_doc,0.3,0.7
주말에 찍은 반려동물 사진 찾아줘,13.2361,18,5,1,3,0,2,retrieve_item,photo/video,1,1,0,0,2,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,recall_personal_photo,0.35,0.6
가족이랑 찍은 사진 찾아줘,26.9289,13,4,0,0,0,0,retrieve_item,photo/video,1,3,0,0,2,0,0,0,0,1,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_social_photo,0.35,0.6
친구들과 함께 찍은 사진 찾아줘,26.0997,15,4,0,0,0,0,retrieve_item,photo/video,1,3,0,0,2,0,0,0,0,1,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,recall_social_photo,0.35,0.6
봄에 갔던 골프장 어디였지?,20.9377,16,4,1,4,0,0,retrieve_item,location/travel,1,3,0,1,1,0,0,0,0,0,0,remember/recall,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0,0,0,recall_travel_photo,0.3,0.6
여름에 갔던 산 어디였지?,13.8776,15,4,1,4,0,0,retrieve_item,location/travel,1,3,0,1,1,0,0,0,0,0,0,remember/recall,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0,0,0,recall_travel_photo,0.3,0.6
주말에 갔던 라이딩 코스 어디였지?,18.0121,20,5,1,3,0,2,retrieve_item,location/travel,1,1,0,1,1,0,0,0,0,0,0,remember/recall,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_travel_photo,0.35,0.6
가을에 갔던 공원 어디였지?,25.1263,16,4,1,4,0,0,retrieve_item,location/travel,1,3,0,1,1,0,0,0,0,0,0,remember/recall,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0,0,0,recall_travel_photo,0.3,0.6
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784,25,7,1,2,0,1,retrieve_item,transaction/finance,1,2,0,0,1,0,0,0,0,0,0,remember/recall,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_finance_doc,0.5,0.4
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792,25,7,1,2,0,1,retrieve_item,transaction/finance,1,2,0,0,1,0,0,0,0,0,0,remember/recall,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_finance_doc,0.5,0.4
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943,28,8,1,2,0,1,retrieve_item,transaction/finance,1,2,0,0,1,0,0,0,0,0,0,remember/recall,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_finance_doc,0.5,0.4
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919,24,7,1,2,0,1,retrieve_item,transaction/finance,1,2,0,0,1,0,0,0,0,0,0,remember/recall,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_finance_doc,0.45,0.4
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563,27,7,1,2,0,2,retrieve_item,media_history,1,2,0,0,1,0,0,0,0,0,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_media_personal,0.45,0.6
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793,27,8,1,2,0,2,retrieve_item,media_history,1,2,0,0,1,0,0,0,0,0,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_media_personal,0.45,0.6
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305,28,8,1,2,0,2,retrieve_item,media_history,1,2,0,0,1,0,0,0,0,0,0,remember/recall,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_media_personal,0.45,0.6
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753,30,8,1,2,0,2,retrieve_item,media_history,1,2,0,0,1,0,0,0,0,0,0,remember/recall,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_media_personal,0.45,0.6
내일 지원이랑 어디서 만나기로 했지?,15.6107,21,5,1,2,1,2,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_calendar,0.3,0.5
내일 지원이랑 언제 만나기로 했지?,11.9332,21,5,1,2,1,2,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_calendar,0.3,0.5
내일 지원이랑 몇 시에 만나기로 했지?,16.2685,24,6,1,2,1,2,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_calendar,0.3,0.5
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54,26,6,1,2,1,2,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_calendar,0.3,0.5
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216,34,8,1,4,0,0,retrieve_item,commerce/shopping,1,3,0,0,1,0,0,0,0,0,0,shop/save_money,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0,0,0,recall_shopping_photo,0.4,0.6
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528,34,8,1,4,0,0,retrieve_item,commerce/shopping,1,3,0,0,1,0,0,0,0,0,0,shop/save_money,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0,0,0,recall_shopping_photo,0.4,0.6
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779,41,9,1,4,0,0,retrieve_item,commerce/shopping,1,3,0,0,1,0,0,0,0,0,0,shop/save_money,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0,0,0,recall_shopping_photo,0.4,0.6
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546,39,9,1,4,0,0,retrieve_item,commerce/shopping,1,3,0,0,1,0,0,0,0,0,0,shop/save_money,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0,0,0,recall_shopping_photo,0.4,0.6
오늘 미팅 장소와 시간은 어디지?,14.0835,22,6,1,2,0,2,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,0,0,remember/recall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_calendar,0.25,0.5
오늘 약속 장소와 시간은 어디지?,6.7843,22,6,1,2,0,2,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,0,0,remember/recall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_calendar,0.25,0.5
오늘 세미나 장소와 시간은 어디지?,20.0484,23,6,1,2,0,2,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,0,0,remember/recall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_calendar,0.25,0.5
오늘 회의 장소와 시간은 어디지?,11.4985,23,6,1,2,0,2,retrieve_item,schedule/calendar,1,0,0,0,1,0,0,0,0,0,0,remember/recall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_calendar,0.25,0.5
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869,25,7,1,4,0,0,retrieve_item,location/travel,1,3,0,1,1,0,0,0,0,0,0,remember/recall,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_travel_photo,0.4,0.6
뉴욕 여행 때 갔던 브런치 집 어디였지?,15.9983,30,7,0,0,0,0,retrieve_item,photo/video,1,3,0,1,1,0,0,0,0,0,0,remember/recall,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_travel_photo,0.4,0.6
부모님 생신 때 갔던 호텔 어디였지?,14.627,29,6,0,0,0,0,retrieve_item,location/travel,1,3,0,1,1,0,0,0,0,1,0,remember/recall,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_travel_photo,0.4,0.6
친구 결혼식 때 갔던 식장 어디였지?,21.6479,31,7,0,0,0,0,retrieve_item,location/travel,1,3,0,1,1,0,0,0,0,1,0,remember/recall,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_travel_photo,0.4,0.6
성훈이랑 최근에 언제 만났더라?,14.5831,20,4,1,1,0,1,retrieve_item,schedule/calendar,1,1,0,0,1,0,0,0,0,1,0,remember/recall,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,recall_calendar,0.25,0.6
